  997.2  206.9 12:36:57.477 62:12:10.56 1
  459.7  214.1 12:37:00.265 62:12:19.44 3
  542.8  229.2 12:36:59.796 62:12:18.66 4
  827.8  230.1 12:36:58.307 62:12:14.12 4
  367.6  235.3 12:37:00.697 62:12:21.69 2
  988.6  239.4 12:36:57.447 62:12:11.88 4
  958.6  240.3 12:36:57.601 62:12:12.39 4
 1395.0  241.7 12:36:55.321 62:12:05.44 4
 1575.6  242.2 12:36:54.378 62:12:02.56 3
 2037.5  249.5 12:36:51.952 62:11:55.40 2
 1180.1  251.0 12:36:56.421 62:12:09.23 3
 3417.7  256.5 12:36:44.739 62:11:33.48 1
 1032.9  260.5 12:36:57.167 62:12:11.94 2
 3886.4  263.3 12:36:42.280 62:11:26.19 4
  733.9  271.3 12:36:58.703 62:12:17.13 3
 1342.8  274.7 12:36:55.518 62:12:07.48 4
 3479.4  274.7 12:36:44.376 62:11:33.15 1
 2542.8  282.4 12:36:49.242 62:11:48.49 2
  805.1  286.6 12:36:58.296 62:12:16.54 4
 1797.2  288.8 12:36:53.116 62:12:00.70 4
 2721.0  290.2 12:36:48.294 62:11:45.91 4
 2698.1  294.9 12:36:48.403 62:11:46.45 3
  290.7  299.9 12:37:00.950 62:12:25.28 4
 1080.0  300.5 12:36:56.830 62:12:12.64 4
  560.5  305.4 12:36:59.529 62:12:21.15 4
 2494.3  307.8 12:36:49.436 62:11:50.19 4
 2023.0  314.6 12:36:51.879 62:11:58.01 4
 2710.7  316.1 12:36:48.289 62:11:47.02 3
 2041.8  316.2 12:36:51.777 62:11:57.77 4
 1241.3  317.6 12:36:55.949 62:12:10.67 4
 2506.8  325.9 12:36:49.329 62:11:50.65 4
  714.4  327.3 12:36:58.676 62:12:19.48 3
  580.5  327.9 12:36:59.373 62:12:21.65 4
 3588.6  328.5 12:36:43.683 62:11:33.35 2
 3974.3  329.7 12:36:41.669 62:11:27.19 3
 3275.5  333.0 12:36:45.305 62:11:38.55 4
 3547.8  333.9 12:36:43.883 62:11:34.21 1
 2543.6  339.6 12:36:49.106 62:11:50.56 3
  354.0  341.4 12:37:00.524 62:12:25.78 4
 2194.7  348.2 12:36:50.906 62:11:56.48 4
 1136.1  349.4 12:36:56.425 62:12:13.52 4
 1215.2  350.0 12:36:56.011 62:12:12.27 1
 3561.4  350.4 12:36:43.774 62:11:34.59 4
 2995.3  351.9 12:36:46.722 62:11:43.75 4
 3101.3  353.3 12:36:46.166 62:11:42.09 3
 3630.4  354.0 12:36:43.406 62:11:33.61 4
 1805.8  358.5 12:36:52.911 62:12:03.10 4
  429.9  359.8 12:37:00.086 62:12:25.23 4
 1855.2  363.6 12:36:52.641 62:12:02.49 4
 2962.2  367.3 12:36:46.860 62:11:44.84 4
 1954.4  370.9 12:36:52.107 62:12:01.16 1
 1693.4  372.2 12:36:53.466 62:12:05.40 3
 3174.6  375.5 12:36:45.733 62:11:41.72 4
  696.2  380.3 12:36:58.650 62:12:21.71 4
